word,pos,11_freqLex3,13_AbsGoug_1063,13_AbsGoug_2000,13_AbsGoug_3000,13_AbsGoug_4000,13_AbsGoug_5000,13_AbsGoug_6000,13_AbsGoug_7000,13_AbsGoug_8000,13_AbsGoug_8775,14_cons_db,14_digraph,14_nasale,14_orale,14_sum_pattern,14_voy_db,15_Avg_pref_freq_seg_10,15_Avg_pref_freq_seg_5,15_Avg_suf_freq_seg_10,15_Avg_suf_freq_seg_5,15_Familly_size_CL_seg_10,15_Family_avgfreq_hclust_10,15_Family_avgfreq_hclust_5,15_Family_avgfreq_morphonet,15_Family_avgfreq_seg_10,15_Family_avgfreq_seg_5,15_Family_cumfreq_hclust_10,15_Family_cumfreq_hclust_5,15_Family_cumfreq_morphonet,15_Family_cumfreq_seg_10,15_Family_cumfreq_seg_5,15_Family_maxfreq_hclust_10,15_Family_maxfreq_hclust_5,15_Family_maxfreq_morphonet,15_Family_maxfreq_seg_10,15_Family_maxfreq_seg_5,15_Family_size_CL_MORPHONET,15_Family_size_CL_hclust_10,15_Family_size_CL_hclust_5,15_Family_size_CL_seg_5,15_Family_size_hclust_10,15_Family_size_hclust_5,15_Family_size_morphonet,15_Family_size_seg_10,15_Family_size_seg_5,15_Has_prefix_seg_10,15_Has_prefix_seg_5,15_Has_suffix_seg_10,15_Has_suffix_seg_5,15_Is_compound_seg_10,15_Is_compound_seg_5,15_Min_pref_freq_seg_10,15_Min_pref_freq_seg_5,15_Min_suf_freq_seg_10,15_Min_suf_freq_seg_5,15_Nb_morphs_seg_10,15_Nb_morphs_seg_5,16_polysemStatus,17_babelNetStatus,1_nb_letters,2_nb_phon,3_nb_syllables,4_complexStructRatio,4_medianStructRatio,4_simpleStructRatio,5_phongraph,7a_nb_voisin,7b_neigh_frqcum,7c_nb_neigh_Morefreq,N1_simple_inconsistants,N2_complex_inconsistants,N3_etymo,N4_phongraph,N5_PresManulex,forme phon
réguler,VER,-14.2164630571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,860.0,820.0,13355.0,12355.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,17.0,15.0,3.0,17.0,24.0,1.0,1.0,1.0,1.0,0.0,0.0,860.0,820.0,5325.0,4865.0,4.0,4.0,0.0,0.0,7.0,6.0,3.0,0.0,0.0,1.0,1.0,2.0,2.140468503936219e-06,1.0,1,0,0,1.0,0,Re-gy-le
répartir,VER,-12.661500603,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,860.0,820.0,5325.0,4865.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,8.0,8.0,5.0,34.0,54.0,1.0,1.0,1.0,1.0,0.0,0.0,860.0,820.0,5325.0,4865.0,3.0,3.0,0.0,1.0,8.0,8.0,3.0,0.0,0.0,1.0,0.0,5.0,3.8262712524176075e-05,4.0,0,0,0,0.0,0,Re-paR-tiR
résulter,VER,-12.7682244213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2414.0,2745.0,1.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,2.0,3.0,2.0,2.0,2.0,3.0,5.0,5.0,2.0,2.0,4.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2414.0,2745.0,2.0,2.0,0.0,0.0,8.0,7.0,3.0,0.0,0.0,1.0,1.0,0,0.0,0.0,1,0,0,1.0,0,Re-zyl-te
samouraï,NOM,-13.2102901643,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,-1.0,-1.0,8.0,7.0,3.0,0.0,0.3333333333333333,0.6666666666666666,1.0,0,0.0,0.0,1,0,0,1.0,0,sa-mu-Raj
samouraïs,NOM,-19.6046453987,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-1.0,-1.0,9.0,7.0,4.0,0.0,0.0,1.0,1.0,0,0.0,0.0,1,0,0,2.0,0,sa-mu-Ra-i
secousse,NOM,-12.7643482669,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,8.0,5.0,2.0,0.0,0.0,1.0,2.0,0,0.0,0.0,1,1,0,3.0,1,s°-kus
sen,NOM,-14.458193063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,-1.0,-1.0,3.0,3.0,1.0,0.0,0.0,1.0,0.0,8.0,0.007994511135308123,8.0,1,0,0,0.0,0,sEn
shogun,NOM,-14.8682392283,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,1.0,1.0,0.0,3.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,-1.0,-1.0,6.0,5.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1,0,0,1.0,0,So-gun
silo,NOM,-13.5111505556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,-1.0,-1.0,4.0,4.0,2.0,0.0,0.0,1.0,0.0,4.0,8.537703820231728e-06,2.0,1,0,0,0.0,0,si-lo
simultané,ADJ,-14.302670482,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,3.0,5.0,5.0,2.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,9.0,9.0,4.0,0.0,0.0,1.0,0.0,0,0.0,0.0,1,0,0,0.0,0,si-myl-ta-ne
