la plus; la plus; la plus; 
le plus;le plus;le plus;le plus;
avoir chaud au cœur;expression verbale figée;corps humain;sensations/sentiments;N/A;<ENT><avoir>_<ENT>C1_<ENT>Prép2_<ENT>Det2_<ENT>C2
avoir affaire à forte partie;collocation;justice;;N/A;<ENT><avoir>_<ENT>C1_<ENT>Prép2_<ENT>Det2_<ENT>C2
avoir confiance en sa bonne étoile;expression verbale figée;sensations/sentiments;;N/A;<ENT><avoir>_<ENT>C1_<ENT>Prép2_<ENT>Det2_<ENT>C2
avoir bobo à l'oreille;collocation;corps humain;santé;N/A;<ENT><avoir>_<ENT>C1_<ENT>Prép2_<ENT>Det2_<ENT>C2
# avoir bobo au (+partie du corps);collocation;corps animal;santé;N/A;<ENT><avoir>_<ENT>C1_<ENT>Prép2_<ENT>Det2_<ENT>C2
avoir droit aux honneurs de la presse;expression verbale figée;autres;;N/A;<ENT><avoir>_<ENT>C1_<ENT>Prép2_<ENT>Det2_<ENT>C2
avoir droit au respect de sa vie privée;expression verbale figée;autres;;N/A;<ENT><avoir>_<ENT>C1_<ENT>Prép2_<ENT>Det2_<ENT>C2
avoir chaud aux fesses;expression idiomatique;corps humain;;N/A;<ENT><avoir>_<ENT>C1_<ENT>Prép2_<ENT>Det2_<ENT>C2
avoir chaud aux oreilles;expression verbale figée;corps humain;;N/A;<ENT><avoir>_<ENT>C1_<ENT>Prép2_<ENT>Det2_<ENT>C2
avoir affaire à la police;collocation;justice;;N/A;<ENT><avoir>_<ENT>C1_<ENT>Prép2_<ENT>Det2_<ENT>C2
avoir confiance dans le progrès;collocation;sensations/sentiments;;N/A;<ENT><avoir>_<ENT>C1_<ENT>Prép2_<ENT>Det2_<ENT>C2
avoir confiance dans l'avenir;expression verbale figée;sensations/sentiments;;N/A;<ENT><avoir>_<ENT>C1_<ENT>Prép2_<ENT>Det2_<ENT>C2
avoir affaire à la justice;collocation;justice;;N/A;<ENT><avoir>_<ENT>C1_<ENT>Prép2_<ENT>Det2_<ENT>C2
avoir confiance dans son étoile;expression verbale figée;sensations/sentiments;;N/A;<ENT><avoir>_<ENT>C1_<ENT>Prép2_<ENT>Det2_<ENT>C2
avoir confiance en son étoile;expression verbale figée;sensations/sentiments;;N/A;<ENT><avoir>_<ENT>C1_<ENT>Prép2_<ENT>Det2_<ENT>C2
avoir confiance dans sa bonne étoile;expression verbale figée;sensations/sentiments;;N/A;<ENT><avoir>_<ENT>C1_<ENT>Prép2_<ENT>Det2_<ENT>C2
avoir confiance en l'avenir;expression verbale figée;sensations/sentiments;;N/A;<ENT><avoir>_<ENT>C1_<ENT>Prép2_<ENT>Det2_<ENT>C2
avoir charge d'âme;expression idiomatique;relations sociales;;N/A;<ENT><avoir>_<ENT>C1_<ENT>Prépc_<ENT>Cc
avoir besoin de tout;collocation;autres;;A2;<ENT><avoir>_<ENT>C1_<ENT>Prépc_<ENT>Cc
avoir envie de faire du mal;expression verbale figée;sensations/sentiments;;N/A;<ENT><avoir>_<ENT>C1_<ENT>Prépc_<ENT>Cc
avoir envie de changer les choses;expression verbale figée;sensations/sentiments;;N/A;<ENT><avoir>_<ENT>C1_<ENT>Prépc_<ENT>Cc
# avoir (+nombre) de température;collocation;sensations/sentiments;;A1;<ENT><avoir>_<ENT>C1_<ENT>Prépc_<ENT>Cc
avoir besoin de bras;collocation;corps humain;;A2;<ENT><avoir>_<ENT>C1_<ENT>Prépc_<ENT>Cc
avoir besoin d'aide;collocation;autres;;A2;<ENT><avoir>_<ENT>C1_<ENT>Prépc_<ENT>Cc
# avoir (+nombre) de fièvre;collocation;sensations/sentiments;;A1;<ENT><avoir>_<ENT>C1_<ENT>Prépc_<ENT>Cc
avoir besoin de se reposer;collocation;autres;;A2;<ENT><avoir>_<ENT>C1_<ENT>Prépc_<ENT>Detc_<ENT>Cc
avoir envie de bien faire;expression verbale figée;sensations/sentiments;;N/A;<ENT><avoir>_<ENT>C1_<ENT>Prépc_<ENT>Detc_<ENT>Cc
avoir un bon goût;collocation;;;B2;<ENT><avoir>_<ENT>Det1_<ENT>Adj1_<ENT>C1
avoir un sacré caractère;collocation;personnalité;;N/A;<ENT><avoir>_<ENT>Det1_<ENT>C1
avoir mauvaise conscience;expression verbale figée;personnalité;;B1;<ENT><avoir>_<ENT>Det1_<ENT>C1
avoir des antennes;expression idiomatique;comportement;;N/A;<ENT><avoir>_<ENT>Det1_<ENT>C1
avoir mauvais caractère;collocation;personnalité;;N/A;<ENT><avoir>_<ENT>Det1_<ENT>C1
avoir la ceinture;expression verbale figée;objets;;N/A;<ENT><avoir>_<ENT>Det1_<ENT>C1
avoir son compte;collocation;argent;;N/A;<ENT><avoir>_<ENT>Det1_<ENT>C1
avoir ses affaires;collocation;autres;;N/A;<ENT><avoir>_<ENT>Det1_<ENT>C1
avoir piètre figure;collocation;apparence;;N/A;<ENT><avoir>_<ENT>Det1_<ENT>C1
avoir bonne conscience;expression verbale figée;personnalité;;N/A;<ENT><avoir>_<ENT>Det1_<ENT>C1
avoir belle allure;collocation;apparence;;N/A;<ENT><avoir>_<ENT>Det1_<ENT>C1
avoir le bourdon;expression idiomatique;sensations/sentiments;;N/A;<ENT><avoir>_<ENT>Det1_<ENT>C1
avoir un bébé;collocation;famille;;N/A;<ENT><avoir>_<ENT>Det1_<ENT>C1
avoir une bonne bouille;expression idiomatique;apparence;;N/A;<ENT><avoir>_<ENT>Det1_<ENT>C1
avoir tous ses esprits;expression verbale figée;comportement;;N/A;<ENT><avoir>_<ENT>Det1_<ENT>C1
avoir ses aises;expression idiomatique;comportement;;N/A;<ENT><avoir>_<ENT>Det1_<ENT>C1
avoir de bons bras;collocation;autres;;N/A;<ENT><avoir>_<ENT>Det1_<ENT>C1
avoir les boules;expression idiomatique;sensations/sentiments;;N/A;<ENT><avoir>_<ENT>Det1_<ENT>C1
avoir des envies;collocation;sensations/sentiments;;N/A;<ENT><avoir>_<ENT>Det1_<ENT>C1
avoir un certain âge;collocation;apparence;;N/A;<ENT><avoir>_<ENT>Det1_<ENT>C1
avoir triste figure;collocation;apparence;;N/A;<ENT><avoir>_<ENT>Det1_<ENT>C1
avoir très faim;collocation;sensations/sentiments;;N/A;<ENT><avoir>_<ENT>Det1_<ENT>C1
avoir tous les droits;collocation;autres;;N/A;<ENT><avoir>_<ENT>Det1_<ENT>C1
avoir la berlue;expression idiomatique;sensations/sentiments;;N/A;<ENT><avoir>_<ENT>Det1_<ENT>C1
avoir de sérieux atouts;expression verbale figée;personnalité;;N/A;<ENT><avoir>_<ENT>Det1_<ENT>C1
avoir de la fièvre;collocation;santé;;A1;<ENT><avoir>_<ENT>Det1_<ENT>C1
avoir un contretemps;collocation;autres;;N/A;<ENT><avoir>_<ENT>Det1_<ENT>C1
avoir libre cours;collocation;action;;N/A;<ENT><avoir>_<ENT>Det1_<ENT>C1
avoir une sacrée descente;expression idiomatique;personnalité;;N/A;<ENT><avoir>_<ENT>Det1_<ENT>C1
avoir la communication;collocation;conversation;personnalité;N/A;<ENT><avoir>_<ENT>Det1_<ENT>C1
avoir son charme;collocation;personnalité;apparence;N/A;<ENT><avoir>_<ENT>Det1_<ENT>C1
avoir un accident;collocation;événements;;A1;<ENT><avoir>_<ENT>Det1_<ENT>C1
avoir du feu;collocation;nature;;N/A;<ENT><avoir>_<ENT>Det1_<ENT>C1
avoir quel âge ?;collocation;autres;;N/A;<ENT><avoir>_<ENT>Det1_<ENT>C1
avoir grand air;collocation;nature;comportement;N/A;<ENT><avoir>_<ENT>Det1_<ENT>C1
avoir toute sa connaissance;collocation;autres;;N/A;<ENT><avoir>_<ENT>Det1_<ENT>C1
avoir du bien;collocation;sensations/sentiments;;N/A;<ENT><avoir>_<ENT>Det1_<ENT>C1
avoir l'électricité;collocation;autres;;N/A;<ENT><avoir>_<ENT>Det1_<ENT>C1
# avoir un accent (+modifieur);collocation;autres;;A1;<ENT><avoir>_<ENT>Det1_<ENT>C1
avoir une bonne descente;expression idiomatique;personnalité;;N/A;<ENT><avoir>_<ENT>Det1_<ENT>C1
avoir de la défense;expression idiomatique;personnalité;;N/A;<ENT><avoir>_<ENT>Det1_<ENT>C1
avoir les chocottes;expression idiomatique;sensations/sentiments;;N/A;<ENT><avoir>_<ENT>Det1_<ENT>C1
avoir mauvais esprit;expression verbale figée;personnalité;;N/A;<ENT><avoir>_<ENT>Det1_<ENT>C1
avoir piètre allure;collocation;apparence;;N/A;<ENT><avoir>_<ENT>Det1_<ENT>C1
avoir grand faim;collocation;sensations/sentiments;;N/A;<ENT><avoir>_<ENT>Det1_<ENT>C1
avoir une drôle de descente;expression idiomatique;personnalité;;N/A;<ENT><avoir>_<ENT>Det1_<ENT>C1
avoir l'eau;collocation;autres;nature;N/A;<ENT><avoir>_<ENT>Det1_<ENT>C1
# avoir (+nombre) enfant;collocation;famille;;N/A;<ENT><avoir>_<ENT>Det1_<ENT>C1
avoir son bébé;collocation;famille;;N/A;<ENT><avoir>_<ENT>Det1_<ENT>C1
avoir du coffre;expression idiomatique;objets;personnalité;N/A;<ENT><avoir>_<ENT>Det1_<ENT>C1
avoir fière allure;collocation;apparence;;N/A;<ENT><avoir>_<ENT>Det1_<ENT>C1
avoir une panne;collocation;;;B1;<ENT><avoir>_<ENT>Det1_<ENT>C1
avoir un drôle de caractère;collocation;personnalité;;N/A;<ENT><avoir>_<ENT>Det1_<ENT>C1
avoir un fichu caractère;collocation;personnalité;;N/A;<ENT><avoir>_<ENT>Det1_<ENT>C1
avoir des desiderata;expression idiomatique;autres;;N/A;<ENT><avoir>_<ENT>Det1_<ENT>C1
# avoir (+nombre) casquettes;expression idiomatique;vêtements;personnalité;N/A;<ENT><avoir>_<ENT>Det1_<ENT>C1
avoir de gros besoins;collocation;autres;;N/A;<ENT><avoir>_<ENT>Det1_<ENT>C1
avoir de belles couleurs;expression verbale figée;apparence;;N/A;<ENT><avoir>_<ENT>Det1_<ENT>C1
