avoir bon dos
avoir bon cœur
avoir bon caractère
avoir bon esprit
avoir fourbu
avoir crampon
avoir chaud
avoir faim
avoir cours
avoir congé
avoir lieu
avoir nom
avoir eu chaud
avoir mal ailleurs
avoir parlé trop tôt
avoir pieds et poings liés
avoir cause gagnée
avoir tout faux
avoir mal où ?
avoir encore frappé
avoir voix consultative
avoir mal partout
avoir mal fait
avoir déjà donné
# avoir figure (+adjectif)
avoir mal quelque part
avoir encore fait quoi ?
avoir figure humaine
avoir eu une belle fin
avoir eu une triste fin
avoir eu une belle mort
avoir fait son temps
# avoir chevillé l'âme au corps de (+Nom humain)
avoir eu un sale coup
avoir fort à faire avec
avoir communication de
avoir affaire à
avoir partie liée avec
avoir quelque chose contre
avoir vue sur
avoir raison de
avoir confiance en
avoir idée de
avoir quelque chose à voir avec
avoir foi en
avoir priorité sur
avoir recours à
avoir prise sur
avoir rendez-vous avec
avoir accès à
avoir barre sur
avoir maille à partir avec
avoir cinq sur cinq
avoir confiance en lui
avoir beaucoup à faire
avoir dix sur dix
avoir foi dans l'avenir
# avoir chaud au (+partie du corps)
avoir affaire aux tribunaux
avoir chaud au cœur
avoir affaire à forte partie
avoir confiance en sa bonne étoile
avoir bobo à l'oreille
# avoir bobo au (+partie du corps)
avoir droit aux honneurs de la presse
avoir droit au respect de sa vie privée
avoir chaud aux fesses
avoir chaud aux oreilles
avoir affaire à la police
avoir confiance dans le progrès
avoir confiance dans l'avenir
avoir affaire à la justice
avoir confiance dans son étoile
avoir confiance en son étoile
avoir confiance dans sa bonne étoile
avoir confiance en l'avenir
avoir charge d'âme
avoir besoin de tout
avoir envie de faire du mal
avoir envie de changer les choses
# avoir (+nombre) de température
avoir besoin de bras
avoir besoin d'aide
# avoir (+nombre) de fièvre
avoir besoin de se reposer
avoir envie de bien faire
avoir un bon goût
avoir un sacré caractère
avoir mauvaise conscience
avoir des antennes
avoir mauvais caractère
avoir la ceinture
avoir son compte
avoir ses affaires
avoir piètre figure
avoir bonne conscience
avoir belle allure
avoir le bourdon
avoir un bébé
avoir une bonne bouille
avoir tous ses esprits
avoir ses aises
avoir de bons bras
avoir les boules
avoir des envies
avoir un certain âge
avoir triste figure
avoir très faim
avoir tous les droits
avoir la berlue
avoir de sérieux atouts
avoir de la fièvre
avoir un contretemps
avoir libre cours
avoir une sacrée descente
avoir la communication
avoir son charme
avoir un accident
avoir du feu
avoir quel âge ?
avoir grand air
avoir toute sa connaissance
avoir du bien
avoir l'électricité
# avoir un accent (+modifieur)
avoir une bonne descente
avoir de la défense
